eps,n_clusters,has_nan,silhouette_score,n_nans,perc_nan
0.7400000000000004,4,True,0.31987786788951916,12,0.21265284423179162
0.7410000000000005,4,True,0.31987786788951916,12,0.21265284423179162
0.7420000000000004,4,True,0.31987786788951916,12,0.21265284423179162
0.7430000000000005,4,True,0.31987786788951916,12,0.21265284423179162
0.7440000000000004,4,True,0.31987786788951916,12,0.21265284423179162
0.7450000000000006,4,True,0.31987786788951916,12,0.21265284423179162
0.7460000000000004,4,True,0.31987786788951916,12,0.21265284423179162
0.7470000000000006,4,True,0.31987786788951916,12,0.21265284423179162
0.7480000000000004,4,True,0.31987786788951916,12,0.21265284423179162
0.7490000000000006,4,True,0.31987786788951916,12,0.21265284423179162
0.7500000000000004,4,True,0.31987786788951916,12,0.21265284423179162
0.7510000000000006,4,True,0.31987786788951916,12,0.21265284423179162
0.7520000000000004,4,True,0.31987786788951916,12,0.21265284423179162
0.7530000000000006,4,True,0.31987786788951916,12,0.21265284423179162
0.7540000000000004,4,True,0.31986328689597504,11,0.1949317738791423
0.7550000000000006,4,True,0.31986328689597504,11,0.1949317738791423
0.7560000000000004,4,True,0.31986328689597504,11,0.1949317738791423
0.7570000000000006,4,True,0.31986328689597504,11,0.1949317738791423
0.7580000000000005,4,True,0.31986328689597504,11,0.1949317738791423
0.7590000000000006,4,True,0.31986328689597504,11,0.1949317738791423
0.7600000000000005,4,True,0.31986328689597504,11,0.1949317738791423
0.7610000000000006,4,True,0.32153381697914135,10,0.177210703526493
0.7620000000000005,4,True,0.32153381697914135,10,0.177210703526493
0.7630000000000006,4,True,0.32153381697914135,10,0.177210703526493
0.7640000000000005,4,True,0.32153381697914135,10,0.177210703526493
0.7650000000000006,4,True,0.32153381697914135,10,0.177210703526493
0.7660000000000005,4,True,0.31868305082782766,9,0.1594896331738437
0.7670000000000006,4,True,0.31868305082782766,9,0.1594896331738437
0.7680000000000005,4,True,0.31868305082782766,9,0.1594896331738437
0.7690000000000006,4,True,0.31868305082782766,9,0.1594896331738437
0.7700000000000005,4,True,0.31868305082782766,9,0.1594896331738437
0.7710000000000006,4,True,0.31868305082782766,9,0.1594896331738437
0.7720000000000005,4,True,0.31868305082782766,9,0.1594896331738437
