variable,vacaciones,teletrabajo,jornada_tipo,salario_media,turno_continuo,funciones,contrato_tipo,nivel_profesional,formacion_minima,personas_a_cargo,experiencia,ciudad,num_tecnologias,num_habilidades,variable_booleano
0.0,0.0,0.5,0.9999999999999999,0.38762214983713356,1.0,0.5087719298245613,1.0000000000000002,0.42176870748299305,0.282051282051282,0.0,1.0,0.0,0.0,0.42105263157894735,0.0
0.0,0.0,1.0,0.9117647058823527,0.3224755700325733,1.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.17921146953405018,0.35000000000000003,0.42105263157894735,0.0
0.0,0.0,1.0,0.9999999999999999,0.25732899022801303,1.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.06093189964157706,0.15000000000000002,0.3157894736842105,0.0
0.0,0.0,1.0,0.9117647058823527,0.3224755700325733,0.0,0.2719298245614035,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.03225806451612904,0.65,0.3157894736842105,0.0
0.0,0.0,1.0,0.9999999999999999,0.2899022801302932,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0,0.30000000000000004,0.42105263157894735,0.0
0.32,0.0,1.0,0.9117647058823527,0.5504885993485342,0.0,0.24561403508771928,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.11827956989247312,0.25,0.47368421052631576,1.0
0.0,0.0,1.0,0.9999999999999999,0.3550488599348534,1.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.04659498207885305,0.25,0.42105263157894735,0.0
0.0,0.0,1.0,0.9117647058823527,0.4201954397394137,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.05376344086021506,0.25,0.2631578947368421,0.0
0.0,0.0,1.0,0.9999999999999999,0.2736156351791531,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0,0.30000000000000004,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.4690553745928339,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.0,0.25,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.2736156351791531,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.05376344086021506,0.05,0.3157894736842105,0.0
0.1,0.0,1.0,0.9999999999999999,0.25732899022801303,0.0,0.21929824561403508,1.0000000000000002,0.08163265306122448,0.3846153846153846,0.0,1.0,0.10752688172043012,0.2,0.0,1.0
0.0,0.0,1.0,0.9999999999999999,0.3550488599348534,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.05017921146953406,0.4,0.3684210526315789,0.0
0.0,0.0,1.0,0.9117647058823527,0.3550488599348534,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.03584229390681004,0.15000000000000002,0.2631578947368421,0.0
0.0,0.0,0.5,0.9117647058823527,0.3224755700325733,1.0,0.2894736842105263,1.0000000000000002,0.2517006802721088,0.4102564102564102,0.0,1.0,0.07526881720430108,0.25,0.5263157894736842,0.0
0.0,0.0,1.0,0.9999999999999999,0.22475570032573292,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.03584229390681004,0.35000000000000003,0.2631578947368421,0.0
0.14,0.0,1.0,0.9999999999999999,0.4201954397394137,1.0,0.2631578947368421,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0860215053763441,0.30000000000000004,0.3157894736842105,1.0
0.0,0.0,1.0,0.9117647058823527,0.22475570032573292,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.003584229390681004,0.4,0.3157894736842105,0.0
