salario_media,variable,variable_booleano,vacaciones,teletrabajo,jornada_tipo,funciones,contrato_tipo,nivel_profesional,formacion_minima,personas_a_cargo,experiencia,num_tecnologias,num_habilidades,id
27.3,0.0,0.0,22.0,1.0,2.0,16.0,0.0,4.0,5.2,0.0,2.0,7.0,1.0,id_tec_140
38.1,0.0,0.0,22.0,0.0,2.0,26.0,0.0,4.0,3.6,0.0,2.0,3.0,1.0,id_tec_141
48.5,0.0,0.0,22.0,0.0,2.0,9.0,0.0,3.0,7.0,0.0,3.0,5.0,2.0,id_tec_142
28.5,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,13.0,0.0,2.0,4.0,1.0,id_tec_143
30.0,0.0,0.0,22.0,0.0,2.0,7.0,0.0,3.0,6.0,0.0,3.0,2.0,3.0,id_tec_144
36.6,0.0,0.0,22.0,1.0,2.0,4.0,0.0,4.0,6.0,0.0,2.0,2.0,3.0,id_tec_145
31.5,0.0,0.0,22.0,0.0,2.0,6.0,0.0,4.0,6.0,0.0,2.0,2.0,1.0,id_tec_146
39.0,0.0,0.0,22.0,1.0,2.0,13.0,0.0,4.0,6.0,0.0,3.0,3.0,1.0,id_tec_147
43.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,8.0,0.0,3.0,1.0,1.0,id_tec_148
30.9,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,1.0,1.0,1.0,id_tec_149
19.5,0.0,0.0,22.0,0.0,2.0,19.0,0.0,4.0,8.0,0.0,1.0,1.0,2.0,id_tec_150
33.3,0.0,0.0,22.0,0.0,2.0,21.0,0.0,4.0,8.0,0.0,2.0,3.0,2.0,id_tec_151
40.5,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,13.0,0.0,2.0,4.0,1.0,id_tec_152
35.7,0.0,0.0,22.0,1.0,2.0,6.0,0.0,2.0,6.0,6.0,2.0,3.0,3.0,id_tec_153
35.0,0.0,0.0,22.0,1.0,2.0,12.0,0.0,3.0,2.0,0.0,3.0,5.0,3.0,id_tec_154
34.8,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,6.0,0.0,2.0,4.0,2.0,id_tec_155
40.5,0.0,0.0,22.0,0.0,2.0,20.0,0.0,4.0,2.0,0.0,3.0,3.0,1.0,id_tec_156
35.7,0.0,0.0,22.0,1.0,2.0,23.0,0.0,4.0,6.8,0.0,2.0,1.0,1.0,id_tec_157
39.0,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,3.0,1.0,id_tec_158
31.5,0.0,0.0,22.0,0.0,2.0,5.0,0.0,4.0,9.0,0.0,2.0,1.0,3.0,id_tec_159
38.4,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,8.0,0.0,2.0,2.0,1.0,id_tec_160
37.5,0.0,0.0,22.0,1.0,2.0,5.0,0.0,4.0,6.0,0.0,2.0,1.0,3.0,id_tec_161
55.6,0.0,0.0,22.0,0.0,2.0,9.0,0.0,2.0,7.0,0.0,3.0,1.0,3.0,id_tec_162
39.0,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,6.0,0.0,2.0,2.0,2.0,id_tec_163
24.0,0.0,0.0,22.0,0.0,2.0,15.0,0.0,4.0,8.0,0.0,2.0,1.0,2.0,id_tec_164
42.3,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,1.0,1.0,id_tec_165
16.0,0.0,0.0,22.0,0.0,2.0,21.0,0.0,4.0,11.0,0.0,1.0,3.0,2.0,id_tec_166
38.1,0.0,0.0,22.0,1.0,2.0,3.0,0.0,4.0,6.0,0.0,3.0,2.0,2.0,id_tec_167
35.7,0.0,0.0,22.0,1.0,2.0,3.0,0.0,4.0,8.2,0.0,2.0,2.0,1.0,id_tec_168
50.6,0.0,0.0,22.0,0.0,2.0,9.0,0.0,4.0,7.0,0.0,3.0,1.0,1.0,id_tec_169
33.0,0.0,0.0,22.0,0.0,2.0,14.0,0.0,3.0,1.0,0.0,2.0,6.0,2.0,id_tec_170
62.0,0.0,0.0,22.0,1.0,2.0,1.0,0.0,3.0,10.0,0.0,3.0,3.0,3.0,id_tec_171
56.4,0.0,0.0,22.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0,3.0,id_tec_172
41.1,0.0,0.0,22.0,1.0,2.0,1.0,0.0,4.0,6.0,0.0,2.0,1.0,1.0,id_tec_173
39.0,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,1.0,1.0,id_tec_174
30.0,0.0,0.0,22.0,1.0,2.0,8.0,0.0,3.0,6.0,0.0,2.0,1.0,1.0,id_tec_175
41.4,0.0,0.0,22.0,0.0,2.0,1.0,0.0,4.0,6.0,0.0,3.0,1.0,1.0,id_tec_176
