id,hab_id
id_man_452,6
id_man_455,6
id_man_459,6
id_man_461,6
id_man_466,6
id_man_473,6
id_man_475,6
id_man_491,6
id_man_494,6
id_man_495,6
id_man_499,6
id_man_512,6
id_man_532,6
id_man_535,6
id_man_551,6
id_man_552,6
id_man_554,6
id_man_558,6
id_man_562,6
id_man_568,6
id_man_571,6
id_man_572,6
id_man_589,6
id_man_634,6
id_man_639,6
id_man_647,6
id_man_652,6
id_man_664,6
id_man_668,6
id_man_671,6
id_man_672,6
id_man_680,6
id_man_681,6
id_man_692,6
id_man_698,6
id_man_718,6
id_man_721,6
id_man_729,6
id_man_731,6
id_man_734,6
id_man_735,6
id_man_739,6
id_man_750,6
id_man_755,6
id_man_757,6
id_man_769,6
id_man_782,6
id_man_796,6
id_man_801,6
id_man_804,6
id_man_807,6
id_man_818,6
id_man_831,6
id_man_833,6
id_man_834,6
id_man_840,6
id_man_845,6
id_man_847,6
id_man_849,6
id_man_851,6
id_man_857,6
id_man_863,6
id_man_869,6
id_man_870,6
id_man_885,6
id_man_886,6
id_man_887,6
id_man_893,6
id_man_895,6
id_man_905,6
id_man_906,6
id_man_914,6
id_man_918,6
id_man_930,6
id_man_933,6
id_man_934,6
id_man_962,6
id_man_963,6
id_man_970,6
id_man_975,6
id_man_977,6
id_man_979,6
id_man_984,6
id_man_995,6
id_man_1018,6
id_man_1021,6
id_man_1032,6
id_man_1038,6
id_man_1049,6
id_man_1055,6
id_man_1057,6
id_man_1058,6
id_man_1061,6
id_man_1062,6
id_man_1078,6
id_man_1080,6
id_man_1086,6
id_man_1088,6
id_man_1094,6
id_man_1107,6
id_man_1110,6
id_man_1113,6
id_man_1132,6
id_man_1137,6
id_man_1140,6
id_man_1143,6
id_man_1147,6
id_man_1148,6
id_man_1152,6
id_man_1156,6
id_man_1158,6
id_man_1168,6
id_man_1172,6
id_man_1177,6
id_man_1183,6
id_man_1185,6
id_man_1224,6
id_man_9,7
id_man_23,7
id_man_38,7
id_man_40,7
id_man_42,7
id_man_44,7
id_man_52,7
id_man_58,7
id_man_59,7
id_man_78,7
id_man_80,7
id_man_83,7
id_man_84,7
id_man_92,7
id_man_96,7
id_man_97,7
id_man_100,7
id_man_103,7
id_man_106,7
id_man_112,7
id_man_128,7
id_man_138,7
id_man_141,7
id_man_142,7
id_man_143,7
id_man_146,7
id_man_149,7
id_man_151,7
id_man_152,7
id_man_154,7
id_man_162,7
id_man_163,7
id_man_164,7
id_man_167,7
id_man_172,7
id_man_174,7
id_man_181,7
id_man_182,7
id_man_184,7
id_man_185,7
id_man_186,7
id_man_195,7
id_man_199,7
id_man_203,7
id_man_209,7
id_man_211,7
id_man_213,7
id_man_220,7
id_man_223,7
id_man_225,7
id_man_228,7
id_man_234,7
id_man_239,7
id_man_243,7
id_man_244,7
id_man_248,7
id_man_262,7
id_man_263,7
id_man_264,7
id_man_266,7
id_man_274,7
id_man_279,7
id_man_281,7
id_man_283,7
id_man_286,7
id_man_288,7
id_man_292,7
id_man_295,7
id_man_306,7
id_man_309,7
id_man_311,7
id_man_327,7
id_man_331,7
id_man_339,7
id_man_345,7
id_man_350,7
id_man_351,7
id_man_352,7
id_man_356,7
id_man_360,7
id_man_365,7
id_man_370,7
id_man_372,7
id_man_373,7
id_man_378,7
id_man_387,7
id_man_394,7
id_man_399,7
id_man_401,7
id_man_405,7
id_man_406,7
id_man_409,7
id_man_414,7
id_man_416,7
id_man_418,7
id_man_421,7
id_man_427,7
id_man_430,7
id_man_431,7
id_man_440,7
id_man_442,7
id_man_445,7
id_man_446,7
id_man_452,7
id_man_458,7
id_man_486,7
id_man_487,7
id_man_488,7
id_man_498,7
id_man_502,7
id_man_503,7
id_man_505,7
id_man_507,7
id_man_508,7
id_man_511,7
id_man_528,7
id_man_535,7
id_man_536,7
id_man_537,7
id_man_541,7
id_man_542,7
id_man_551,7
id_man_558,7
id_man_564,7
id_man_565,7
id_man_567,7
id_man_569,7
id_man_572,7
id_man_576,7
