tecnologia,tec_id
sistemas,1026
power bi,1027
 arcsight,1028
nav,1029
listas,1030
powercenter,1031
atlassian,1032
mq,1033
ninjaone,1034
ciam,1035
cpm,1036
ec2,1037
stm,1038
mbse,1039
neuvector,1040
grpc,1041
data center,1042
tekla,1043
excel,1044
glue,1045
servidores de correo,1046
sap btp,1047
ubiquiti,1048
pcb,1049
code,1050
rpa,1051
backlog,1052
iam,1053
sdet,1054
react.js,1055
zephyr,1056
arcgis,1057
juniper,1058
worksoft,1059
azure synapse pyspark,1060
ingenieria,1061
iso 14001,1062
spark,1063
dynamodb,1064
fijo,1065
karate,1066
centos,1067
sst,1068
procurve,1069
adwords,1070
rancher,1071
s4 sap hana,1072
iapp,1073
devexpress,1074
mulesoft,1075
salesforce marketing cloud,1076
stanag,1077
pmo,1078
sql python,1079
arquitectura hexagonal,1080
gdb,1081
project manager,1082
nlu,1083
igi,1084
tcp/ip,1085
myaffiliates,1086
xcode,1087
proxys,1088
ira,1089
xunit,1090
cassandra,1091
firetv,1092
ingenieria industrial,1093
screaming frog,1094
php,1095
cms,1096
qs,1097
prompts,1098
doors,1099
civil3d,1100
veeam,1101
mariadb,1102
core web api,1103
rman,1104
novell identity manager,1105
newrelic,1106
security,1107
jenkins,1108
exchange,1109
stonegate,1110
microiformatica,1111
microservicios,1112
jsf,1113
bigquery,1114
nestjs,1115
oracle,1116
aveva mes,1117
analysis,1118
peram,1119
go,1120
esxi,1121
ddd,1122
openid,1123
appian,1124
euspa,1125
metalizacion,1126
t sql,1127
ubuntu,1128
movilidad,1129
entity framerowk,1130
iis,1131
dynatrance,1132
gnc,1133
erp,1134
analisis,1135
zookeeper,1136
ml genia,1137
data lake,1138
2ee,1139
dcs,1140
cpd,1141
autoconf,1142
deep learning,1143
mainframe,1144
configuracion incial,1145
an,1146
proxies,1147
hcd,1148
pilas,1149
amazon ads,1150
aiv,1151
asp net,1152
apirest,1153
active directory,1154
jes2,1155
skype,1156
mac,1157
pv elite,1158
netbackup,1159
inventor,1160
azure ai,1161
ecm,1162
scv,1163
apis rest,1164
ivr,1165
crystal reports,1166
crm,1167
fortigate,1168
base de datos,1169
jest,1170
odoo,1171
programacion,1172
flyway rsocket,1173
solid,1174
react native,1175
arquitectura distribuida hexagonal,1176
nagios,1177
bdd,1178
