id,tec_id
id_man_376,15
id_man_379,15
id_man_383,15
id_man_392,15
id_man_398,15
id_man_399,15
id_man_401,15
id_man_403,15
id_man_407,15
id_man_422,15
id_man_428,15
id_man_438,15
id_man_440,15
id_man_441,15
id_man_448,15
id_man_454,15
id_man_457,15
id_man_459,15
id_man_461,15
id_man_462,15
id_man_466,15
id_man_468,15
id_man_469,15
id_man_470,15
id_man_478,15
id_man_479,15
id_man_482,15
id_man_492,15
id_man_502,15
id_man_505,15
id_man_517,15
id_man_523,15
id_man_529,15
id_man_532,15
id_man_533,15
id_man_538,15
id_man_539,15
id_man_548,15
id_man_549,15
id_man_550,15
id_man_552,15
id_man_554,15
id_man_562,15
id_man_564,15
id_man_565,15
id_man_566,15
id_man_569,15
id_man_572,15
id_man_573,15
id_man_576,15
id_man_584,15
id_man_585,15
id_man_586,15
id_man_592,15
id_man_598,15
id_man_604,15
id_man_629,15
id_man_635,15
id_man_642,15
id_man_648,15
id_man_653,15
id_man_657,15
id_man_658,15
id_man_660,15
id_man_666,15
id_man_668,15
id_man_669,15
id_man_685,15
id_man_693,15
id_man_701,15
id_man_704,15
id_man_712,15
id_man_718,15
id_man_733,15
id_man_734,15
id_man_739,15
id_man_740,15
id_man_743,15
id_man_748,15
id_man_757,15
id_man_765,15
id_man_767,15
id_man_773,15
id_man_774,15
id_man_777,15
id_man_782,15
id_man_789,15
id_man_790,15
id_man_795,15
id_man_796,15
id_man_810,15
id_man_817,15
id_man_828,15
id_man_829,15
id_man_839,15
id_man_842,15
id_man_847,15
id_man_852,15
id_man_855,15
id_man_861,15
id_man_862,15
id_man_865,15
id_man_867,15
id_man_870,15
id_man_875,15
id_man_880,15
id_man_881,15
id_man_887,15
id_man_895,15
id_man_904,15
id_man_914,15
id_man_922,15
id_man_932,15
id_man_937,15
id_man_939,15
id_man_942,15
id_man_947,15
id_man_948,15
id_man_954,15
id_man_959,15
id_man_962,15
id_man_968,15
id_man_976,15
id_man_991,15
id_man_999,15
id_man_1007,15
id_man_1011,15
id_man_1012,15
id_man_1013,15
id_man_1015,15
id_man_1019,15
id_man_1020,15
id_man_1034,15
id_man_1039,15
id_man_1041,15
id_man_1046,15
id_man_1048,15
id_man_1052,15
id_man_1056,15
id_man_1058,15
id_man_1063,15
id_man_1065,15
id_man_1072,15
id_man_1080,15
id_man_1081,15
id_man_1082,15
id_man_1083,15
id_man_1086,15
id_man_1102,15
id_man_1103,15
id_man_1109,15
id_man_1110,15
id_man_1111,15
id_man_1113,15
id_man_1117,15
id_man_1123,15
id_man_1137,15
id_man_1140,15
id_man_1145,15
id_man_1146,15
id_man_1148,15
id_man_1149,15
id_man_1158,15
id_man_1161,15
id_man_1164,15
id_man_1167,15
id_man_1175,15
id_man_1181,15
id_man_1184,15
id_man_1185,15
id_man_1189,15
id_man_1192,15
id_man_1199,15
id_man_1221,15
id_man_4,16
id_man_5,17
id_man_50,17
id_man_68,17
id_man_75,17
id_man_84,17
id_man_93,17
id_man_96,17
id_man_125,17
id_man_187,17
id_man_198,17
id_man_234,17
id_man_238,17
id_man_251,17
id_man_281,17
id_man_310,17
id_man_316,17
id_man_325,17
id_man_365,17
id_man_369,17
id_man_396,17
id_man_435,17
id_man_459,17
id_man_477,17
id_man_527,17
id_man_533,17
id_man_534,17
id_man_563,17
id_man_581,17
id_man_635,17
id_man_655,17
id_man_675,17
id_man_689,17
id_man_701,17
id_man_704,17
id_man_717,17
id_man_724,17
id_man_758,17
id_man_760,17
id_man_823,17
id_man_843,17
id_man_847,17
id_man_872,17
id_man_887,17
id_man_890,17
id_man_930,17
id_man_968,17
id_man_1025,17
id_man_1036,17
id_man_1086,17
id_man_1099,17
id_man_1139,17
id_man_1150,17
id_man_1176,17
id_man_1180,17
id_man_1195,17
id_man_5,18
id_man_24,18
id_man_41,18
id_man_46,18
id_man_78,18
id_man_86,18
id_man_93,18
id_man_96,18
id_man_97,18
id_man_114,18
id_man_115,18
id_man_124,18
id_man_125,18
id_man_126,18
id_man_129,18
id_man_164,18
id_man_169,18
id_man_234,18
id_man_238,18
id_man_251,18
id_man_255,18
id_man_274,18
id_man_281,18
id_man_316,18
id_man_365,18
id_man_396,18
id_man_435,18
id_man_459,18
id_man_467,18
id_man_527,18
id_man_533,18
id_man_551,18
id_man_581,18
id_man_635,18
id_man_645,18
id_man_655,18
id_man_689,18
id_man_704,18
id_man_724,18
id_man_729,18
