id,Presencial
id_man_205,
id_man_206,
id_man_207,MADRID
id_man_208,VALENCIA
id_man_209,
id_man_210,
id_man_211,
id_man_212,MADRID
id_man_213,
id_man_214,
id_man_215,MADRID
id_man_216,MADRID
id_man_217,
id_man_218,
id_man_219,MADRID
id_man_219,BARCELONA
id_man_220,
id_man_221,MADRID
id_man_222,
id_man_223,BARCELONA
id_man_224,
id_man_225,
id_man_226,
id_man_227,MADRID
id_man_228,
id_man_229,MADRID
id_man_230,MADRID
id_man_231,
id_man_232,
id_man_233,
id_man_234,
id_man_235,BILBAO
id_man_235,MADRID
id_man_235,SEVILLA
id_man_236,SEVILLA
id_man_237,MADRID
id_man_238,A CORUÑA
id_man_239,
id_man_240,
id_man_241,MADRID
id_man_242,
id_man_243,
id_man_244,BARCELONA
id_man_244,MADRID
id_man_245,MADRID
id_man_246,
id_man_247,
id_man_248,
id_man_249,MADRID
id_man_250,MURCIA
id_man_251,VALENCIA
id_man_252,
id_man_253,MADRID
id_man_254,BARCELONA
id_man_255,ALCOBENDAS
id_man_256,
id_man_257,
id_man_258,MADRID
id_man_259,
id_man_260,BARCELONA
id_man_261,
id_man_262,A CORUÑA
id_man_263,
id_man_264,BARCELONA
id_man_265,BARCELONA
id_man_266,MADRID
id_man_267,A CORUÑA
id_man_268,
id_man_269,
id_man_270,
id_man_271,
id_man_272,
id_man_273,MADRID
id_man_273,VALENCIA
id_man_274,MADRID
id_man_275,MADRID
id_man_276,
id_man_277,
id_man_278,
id_man_279,
id_man_280,MADRID
id_man_281,VALENCIA
id_man_282,
id_man_283,
id_man_284,
id_man_285,
id_man_286,
id_man_287,
id_man_288,MADRID
id_man_289,
id_man_290,
id_man_291,
id_man_292,
id_man_293,MADRID
id_man_294,MADRID
id_man_295,
id_man_296,
id_man_297,
id_man_298,MADRID
id_man_299,
id_man_300,
id_man_301,
id_man_302,
id_man_303,MADRID
id_man_304,
id_man_305,
id_man_306,
id_man_307,
id_man_308,
id_man_309,
id_man_310,MADRID
id_man_311,BARCELONA
id_man_312,MADRID
id_man_313,
id_man_314,VITORIA-GASTEIZ
id_man_314,MADRID
id_man_315,
id_man_316,A CORUÑA
id_man_317,
id_man_318,MADRID
id_man_319,
id_man_320,
id_man_321,A CORUÑA
id_man_321,MADRID
id_man_322,
id_man_323,MADRID
id_man_324,
id_man_325,MADRID
id_man_326,BADAJOZ
id_man_327,
id_man_328,MADRID
id_man_329,MADRID
id_man_330,MADRID
id_man_330,SEVILLA
id_man_330,VALENCIA
id_man_331,BARCELONA
id_man_332,
id_man_333,
id_man_334,
id_man_335,
id_man_336,MADRID
id_man_337,
id_man_338,
id_man_339,
id_man_340,
id_man_341,
id_man_342,
id_man_343,
id_man_344,
id_man_345,
id_man_346,
id_man_347,
id_man_348,
id_man_349,
id_man_350,
id_man_351,MADRID
id_man_352,
id_man_353,
id_man_354,
id_man_355,
id_man_356,PALMA
id_man_357,
id_man_358,
id_man_359,
id_man_360,
id_man_361,
id_man_362,MADRID
id_man_363,MADRID
id_man_364,
id_man_365,
id_man_366,BARCELONA
id_man_367,
id_man_368,
id_man_369,
id_man_370,
id_man_371,
id_man_372,
id_man_373,
id_man_374,BARCELONA
id_man_375,
id_man_376,
id_man_377,
id_man_378,
id_man_379,A CORUÑA
